"동별","연령별","항목","단위","2024. 4/4","2025. 1/4",
"가회동","75~79세","한국인","","176","175",
"가회동","75~79세","등록외국인","","1","2",
"가회동","80~84세","계","","147","149",
"가회동","80~84세","한국인","","147","149",
"가회동","80~84세","등록외국인","","-","-",
"가회동","85~89세","계","","78","79",
"가회동","85~89세","한국인","","78","79",
"가회동","85~89세","등록외국인","","-","-",
"가회동","90~94세","계","","29","31",
"가회동","90~94세","한국인","","29","31",
"가회동","90~94세","등록외국인","","-","-",
"가회동","95~99세","계","","9","8",
"가회동","95~99세","한국인","","9","8",
"가회동","95~99세","등록외국인","","-","-",
"가회동","100세 이상","계","","1","1",
"가회동","100세 이상","한국인","","1","1",
"가회동","100세 이상","등록외국인","","-","-",
"종로1.2.3.4가동","합계","계","","8549","8506",
"종로1.2.3.4가동","합계","한국인","","6668","6670",
"종로1.2.3.4가동","합계","등록외국인","","1881","1836",
"종로1.2.3.4가동","0~4세","계","","192","155",
"종로1.2.3.4가동","0~4세","한국인","","79","69",
"종로1.2.3.4가동","0~4세","등록외국인","","113","86",
"종로1.2.3.4가동","5~9세","계","","208","212",
"종로1.2.3.4가동","5~9세","한국인","","70","75",
"종로1.2.3.4가동","5~9세","등록외국인","","138","137",
"종로1.2.3.4가동","10~14세","계","","240","239",
"종로1.2.3.4가동","10~14세","한국인","","108","105",
"종로1.2.3.4가동","10~14세","등록외국인","","132","134",
"종로1.2.3.4가동","15~19세","계","","217","234",
"종로1.2.3.4가동","15~19세","한국인","","104","113",
"종로1.2.3.4가동","15~19세","등록외국인","","113","121",
"종로1.2.3.4가동","20~24세","계","","454","400",
"종로1.2.3.4가동","20~24세","한국인","","297","284",
"종로1.2.3.4가동","20~24세","등록외국인","","157","116",
"종로1.2.3.4가동","25~29세","계","","779","770",
"종로1.2.3.4가동","25~29세","한국인","","651","647",
"종로1.2.3.4가동","25~29세","등록외국인","","128","123",
"종로1.2.3.4가동","30~34세","계","","703","736",
"종로1.2.3.4가동","30~34세","한국인","","570","604",
"종로1.2.3.4가동","30~34세","등록외국인","","133","132",
"종로1.2.3.4가동","35~39세","계","","634","623",
"종로1.2.3.4가동","35~39세","한국인","","422","423",
"종로1.2.3.4가동","35~39세","등록외국인","","212","200",
"종로1.2.3.4가동","40~44세","계","","706","672",
"종로1.2.3.4가동","40~44세","한국인","","450","428",
"종로1.2.3.4가동","40~44세","등록외국인","","256","244",
"종로1.2.3.4가동","45~49세","계","","566","588",
"종로1.2.3.4가동","45~49세","한국인","","395","393",
"종로1.2.3.4가동","45~49세","등록외국인","","171","195",
"종로1.2.3.4가동","50~54세","계","","645","645",
"종로1.2.3.4가동","50~54세","한국인","","492","498",
"종로1.2.3.4가동","50~54세","등록외국인","","153","147",
"종로1.2.3.4가동","55~59세","계","","642","648",
"종로1.2.3.4가동","55~59세","한국인","","565","560",
"종로1.2.3.4가동","55~59세","등록외국인","","77","88",
"종로1.2.3.4가동","60~64세","계","","716","715",
"종로1.2.3.4가동","60~64세","한국인","","656","649",
"종로1.2.3.4가동","60~64세","등록외국인","","60","66",
"종로1.2.3.4가동","65~69세","계","","670","669",
"종로1.2.3.4가동","65~69세","한국인","","649","640",
"종로1.2.3.4가동","65~69세","등록외국인","","21","29",
"종로1.2.3.4가동","70~74세","계","","416","433",
"종로1.2.3.4가동","70~74세","한국인","","409","427",
"종로1.2.3.4가동","70~74세","등록외국인","","7","6",
"종로1.2.3.4가동","75~79세","계","","319","327",
"종로1.2.3.4가동","75~79세","한국인","","316","322",
"종로1.2.3.4가동","75~79세","등록외국인","","3","5",
"종로1.2.3.4가동","80~84세","계","","264","262",
"종로1.2.3.4가동","80~84세","한국인","","259","257",
"종로1.2.3.4가동","80~84세","등록외국인","","5","5",
"종로1.2.3.4가동","85~89세","계","","122","120",
"종로1.2.3.4가동","85~89세","한국인","","121","119",
"종로1.2.3.4가동","85~89세","등록외국인","","1","1",
"종로1.2.3.4가동","90~94세","계","","41","43",
"종로1.2.3.4가동","90~94세","한국인","","40","42",
"종로1.2.3.4가동","90~94세","등록외국인","","1","1",
"종로1.2.3.4가동","95~99세","계","","11","12",
"종로1.2.3.4가동","95~99세","한국인","","11","12",
"종로1.2.3.4가동","95~99세","등록외국인","","-","-",
"종로1.2.3.4가동","100세 이상","계","","4","3",
"종로1.2.3.4가동","100세 이상","한국인","","4","3",
"종로1.2.3.4가동","100세 이상","등록외국인","","-","-",
"종로5.6가동","합계","계","","5852","5770",
"종로5.6가동","합계","한국인","","5294","5284",
"종로5.6가동","합계","등록외국인","","558","486",
"종로5.6가동","0~4세","계","","56","46",
"종로5.6가동","0~4세","한국인","","52","43",
"종로5.6가동","0~4세","등록외국인","","4","3",
"종로5.6가동","5~9세","계","","94","106",
"종로5.6가동","5~9세","한국인","","87","98",
"종로5.6가동","5~9세","등록외국인","","7","8",
"종로5.6가동","10~14세","계","","93","90",
"종로5.6가동","10~14세","한국인","","88","85",
"종로5.6가동","10~14세","등록외국인","","5","5",
"종로5.6가동","15~19세","계","","160","120",
"종로5.6가동","15~19세","한국인","","101","103",
"종로5.6가동","15~19세","등록외국인","","59","17",
"종로5.6가동","20~24세","계","","520","479",
"종로5.6가동","20~24세","한국인","","356","348",
"종로5.6가동","20~24세","등록외국인","","164","131",
"종로5.6가동","25~29세","계","","854","842",
"종로5.6가동","25~29세","한국인","","720","713",
"종로5.6가동","25~29세","등록외국인","","134","129",
"종로5.6가동","30~34세","계","","681","691",
"종로5.6가동","30~34세","한국인","","614","621",
"종로5.6가동","30~34세","등록외국인","","67","70",
"종로5.6가동","35~39세","계","","358","371",
"종로5.6가동","35~39세","한국인","","333","341",
"종로5.6가동","35~39세","등록외국인","","25","30",
"종로5.6가동","40~44세","계","","315","316",
"종로5.6가동","40~44세","한국인","","291","293",
"종로5.6가동","40~44세","등록외국인","","24","23",
"종로5.6가동","45~49세","계","","298","289",
"종로5.6가동","45~49세","한국인","","280","269",
"종로5.6가동","45~49세","등록외국인","","18","20",
"종로5.6가동","50~54세","계","","399","393",
"종로5.6가동","50~54세","한국인","","381","375",
"종로5.6가동","50~54세","등록외국인","","18","18",
"종로5.6가동","55~59세","계","","450","444",
"종로5.6가동","55~59세","한국인","","433","431",
"종로5.6가동","55~59세","등록외국인","","17","13",
"종로5.6가동","60~64세","계","","458","466",
"종로5.6가동","60~64세","한국인","","453","458",
"종로5.6가동","60~64세","등록외국인","","5","8",
"종로5.6가동","65~69세","계","","360","356",
"종로5.6가동","65~69세","한국인","","352","350",
"종로5.6가동","65~69세","등록외국인","","8","6",
"종로5.6가동","70~74세","계","","238","244",
"종로5.6가동","70~74세","한국인","","237","241",
"종로5.6가동","70~74세","등록외국인","","1","3",
"종로5.6가동","75~79세","계","","229","224",
"종로5.6가동","75~79세","한국인","","228","223",
"종로5.6가동","75~79세","등록외국인","","1","1",
"종로5.6가동","80~84세","계","","176","171",
"종로5.6가동","80~84세","한국인","","176","171",
"종로5.6가동","80~84세","등록외국인","","-","-",
"종로5.6가동","85~89세","계","","78","85",
"종로5.6가동","85~89세","한국인","","78","85",
"종로5.6가동","85~89세","등록외국인","","-","-",
"종로5.6가동","90~94세","계","","28","29",
"종로5.6가동","90~94세","한국인","","27","28",
"종로5.6가동","90~94세","등록외국인","","1","1",
"종로5.6가동","95~99세","계","","7","8",
"종로5.6가동","95~99세","한국인","","7","8",
"종로5.6가동","95~99세","등록외국인","","-","-",
"종로5.6가동","100세 이상","계","","-","-",
"종로5.6가동","100세 이상","한국인","","-","-",
"종로5.6가동","100세 이상","등록외국인","","-","-",
"이화동","합계","계","","7533","7538",
"이화동","합계","한국인","","7009","7018",
"이화동","합계","등록외국인","","524","520",
"이화동","0~4세","계","","74","72",
"이화동","0~4세","한국인","","68","67",
"이화동","0~4세","등록외국인","","6","5",
"이화동","5~9세","계","","99","94",
"이화동","5~9세","한국인","","93","89",
"이화동","5~9세","등록외국인","","6","5",
"이화동","10~14세","계","","142","138",
"이화동","10~14세","한국인","","138","134",
"이화동","10~14세","등록외국인","","4","4",
"이화동","15~19세","계","","216","205",
"이화동","15~19세","한국인","","194","193",
"이화동","15~19세","등록외국인","","22","12",
"이화동","20~24세","계","","678","652",
"이화동","20~24세","한국인","","505","508",
"이화동","20~24세","등록외국인","","173","144",
"이화동","25~29세","계","","1188","1235",
"이화동","25~29세","한국인","","1040","1052",
"이화동","25~29세","등록외국인","","148","183",
"이화동","30~34세","계","","850","836",
"이화동","30~34세","한국인","","797","783",
"이화동","30~34세","등록외국인","","53","53",
"이화동","35~39세","계","","506","508",
"이화동","35~39세","한국인","","462","460",
"이화동","35~39세","등록외국인","","44","48",
"이화동","40~44세","계","","445","441",
"이화동","40~44세","한국인","","426","423",
"이화동","40~44세","등록외국인","","19","18",
"이화동","45~49세","계","","375","378",
"이화동","45~49세","한국인","","367","368",
"이화동","45~49세","등록외국인","","8","10",
"이화동","50~54세","계","","512","516",
"이화동","50~54세","한국인","","499","506",
"이화동","50~54세","등록외국인","","13","10",
"이화동","55~59세","계","","514","508",
"이화동","55~59세","한국인","","503","499",
"이화동","55~59세","등록외국인","","11","9",
"이화동","60~64세","계","","525","535",
"이화동","60~64세","한국인","","517","525",
"이화동","60~64세","등록외국인","","8","10",
"이화동","65~69세","계","","418","418",
"이화동","65~69세","한국인","","413","415",
"이화동","65~69세","등록외국인","","5","3",
"이화동","70~74세","계","","329","344",
"이화동","70~74세","한국인","","325","338",
"이화동","70~74세","등록외국인","","4","6",
"이화동","75~79세","계","","259","255",
"이화동","75~79세","한국인","","259","255",
"이화동","75~79세","등록외국인","","-","-",
"이화동","80~84세","계","","220","222",
"이화동","80~84세","한국인","","220","222",
"이화동","80~84세","등록외국인","","-","-",
